City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
285,progreso,21.2833,-89.6667,22.76,64,0,5.96,1707451493
286,krasnyy chikoy,50.3643,108.7512,-12.22,81,49,0.34,1707451900
287,rafraf,37.1904,10.1837,11.17,54,49,5.24,1707451901
288,poco verde,-10.7083,-38.1833,23.68,88,71,3.14,1707451901
289,sinan,34.8262,126.1086,4.57,62,36,7.06,1707451901
290,tofol,5.3248,163.0078,29.88,66,100,5.14,1707451520
291,salinas,36.6777,-121.6555,10.47,85,40,2.57,1707451520
292,cururupu,-1.8283,-44.8683,24.65,94,30,1.76,1707451634
293,port alberni,49.2413,-124.8028,5.91,93,100,0.94,1707451487
294,burley,42.5357,-113.7928,0.11,81,100,4.47,1707451902
295,laghouat,33.8,2.8651,11.2,27,95,6.54,1707451902
296,mingguang,32.7802,117.9638,6.98,61,8,4.25,1707451903
297,vorgashor,67.5833,63.95,-6.69,84,100,5.03,1707451483
298,kapa'a,22.0752,-159.319,25.99,72,100,4.63,1707451722
299,east london,-33.0153,27.9116,19.52,82,100,4.63,1707451233
300,kampene,-3.6,26.6667,20.6,98,21,0.76,1707451903
301,bechar,31.6167,-2.2167,11.61,26,100,3.44,1707451635
302,miandrivazo,-19.5167,45.4667,26.02,85,100,0.15,1707451904
303,freetown,8.484,-13.2299,24.54,89,3,1.71,1707451904
304,kearney,40.6995,-99.0815,4.31,75,0,2.06,1707451791
305,kenai,60.5544,-151.2583,-0.51,89,100,8.23,1707451489
306,fort morgan,40.2503,-103.8,5.36,52,100,2.06,1707451904
307,goondiwindi,-28.55,150.3167,32.19,38,44,2.35,1707451904
308,suileng,47.25,127.0833,-9.49,88,100,0.89,1707451905
309,sijunjung,-0.6876,100.9537,26.84,88,97,0.79,1707451905
310,mount isa,-20.7333,139.5,32.87,52,75,5.66,1707451517
311,inari,68.906,27.0288,-20.89,100,97,1.92,1707451905
312,zhabinka,52.1984,24.0115,-0.02,93,40,0.0,1707451628
313,sydney,-33.8679,151.2073,27.49,65,75,8.75,1707451363
314,popondetta,-8.7537,148.2534,30.83,69,76,2.12,1707451520
315,luwingu,-10.2621,29.9271,16.99,92,100,0.91,1707451906
316,thinadhoo,0.5333,72.9333,27.75,69,98,5.67,1707451496
317,daloa,6.8774,-6.4502,19.72,86,0,0.72,1707451906
318,otofuke,42.9917,143.2003,-0.77,63,57,3.36,1707451906
319,wickenburg,33.9686,-112.7296,5.38,58,4,1.87,1707451613
320,tolanaro,-25.0319,46.9987,23.04,94,20,4.12,1707451485
321,lib,8.3122,167.3766,27.15,80,98,10.19,1707451907
322,kongolo,-5.3833,27.0,21.16,96,7,0.58,1707451907
323,zabid,14.1951,43.3152,25.0,68,54,2.09,1707451907
324,brigantine,39.4101,-74.3646,6.11,86,100,2.24,1707451907
325,barra velha,-26.6322,-48.6847,23.51,95,27,1.18,1707451907
326,port hedland,-20.3167,118.5667,38.03,30,3,4.12,1707451356
327,walla walla,46.0646,-118.343,6.94,69,100,4.12,1707451908
328,vyksa,55.3175,42.1744,-15.62,86,98,5.27,1707451908
329,uribia,11.7139,-72.266,24.62,72,7,3.78,1707451908
330,carnarvon,-24.8667,113.6333,33.8,40,0,4.3,1707451217
331,nizhnesortymskiy,62.4397,71.7603,-14.89,97,95,6.18,1707451908
332,castillos,-34.1667,-53.8333,21.09,95,16,1.75,1707451539
333,swakopmund,-22.6833,14.5333,18.1,90,30,2.4,1707451784
334,moose jaw,50.4001,-105.5344,-5.53,95,99,3.2,1707451909
335,gaalkacyo,6.7697,47.4308,22.92,67,22,6.09,1707451909
336,mount pearl,47.5166,-52.7813,-1.14,96,100,7.2,1707451300
337,qeshm,26.9581,56.2719,13.93,57,0,1.49,1707451909
338,gebeit,21.0667,36.3167,13.74,85,0,0.62,1707451701
339,hilo,19.7297,-155.09,22.93,89,75,3.6,1707451473
340,centenario,-38.8043,-68.14,25.86,31,40,3.09,1707451910
341,ilhabela,-23.7781,-45.3581,25.03,90,35,3.45,1707451910
342,hafar al-batin,28.4328,45.9708,9.32,43,0,1.54,1707451911
343,katsuren-haebaru,26.3369,127.8719,17.43,83,100,4.63,1707451911
344,tromso,69.6496,18.957,-7.99,57,0,6.69,1707451488
345,coro,11.4045,-69.6734,24.76,85,63,1.32,1707451911
346,mlimba,-8.8,35.8167,22.62,95,100,1.08,1707451911
347,trenggalek,-8.05,111.7167,30.8,64,41,2.1,1707451911
348,thunder bay,48.4001,-89.3168,2.26,98,100,2.01,1707451716
349,saint-philippe,-21.3585,55.7679,25.77,86,100,7.96,1707451478
350,balimila,18.25,82.1333,26.83,40,3,1.21,1707451912
351,berrahal,36.8353,7.4533,13.85,42,100,2.78,1707451912
352,arraial do cabo,-22.9661,-42.0278,25.3,89,8,6.17,1707451792
353,guerrero negro,27.9769,-114.0611,15.15,68,79,6.44,1707451500
354,quellon,-43.1167,-73.6167,11.47,87,55,3.01,1707451521
355,monkey bay,-14.0728,34.9201,24.61,80,91,5.45,1707451913
356,north bend,43.4065,-124.2243,6.59,93,20,3.09,1707451913
357,jiuquan,39.7432,98.5174,-0.77,45,99,1.17,1707451913
358,chegdomyn,51.1167,133.0167,-16.78,83,95,0.85,1707451913
359,al buraymi,24.2509,55.7931,13.99,76,0,0.9,1707451913
360,bodaybo,57.8506,114.1933,-9.51,92,100,0.56,1707451535
361,garbahaarrey,3.3289,42.2209,26.57,63,83,4.05,1707451914
362,hami,42.8,93.45,-0.68,54,1,2.85,1707451914
363,tucuma,-0.1833,-50.05,24.61,95,86,2.5,1707451914
364,vredendal,-31.6683,18.5012,14.58,88,0,2.24,1707451533
365,ad dilam,23.9915,47.1627,13.23,27,91,1.97,1707451915
366,kuanda,56.3161,116.0806,-14.21,90,99,0.47,1707451915
367,richards bay,-28.783,32.0377,21.65,86,26,2.27,1707451499
368,kirakira,-10.4544,161.9205,27.46,87,100,8.38,1707451915
369,zhijiang,30.4214,111.7533,9.13,69,44,2.0,1707451915
370,hailey,43.5196,-114.3153,-5.08,86,0,0.89,1707451915
371,naze,28.3667,129.4833,13.49,66,99,6.07,1707451742
372,noosa heads,-26.3833,153.15,28.39,62,48,7.54,1707451916
373,sogndal,61.2283,7.1003,-9.79,92,100,2.06,1707451916
374,phang nga,8.4509,98.5298,32.02,48,30,1.74,1707451916
375,prince rupert,54.3161,-130.3201,3.83,80,100,3.09,1707451454
376,eraan,9.0629,117.7016,29.65,66,89,4.98,1707451917
377,bardai,11.65,7.2333,15.36,20,3,4.05,1707451917
378,mammoth lakes,37.6485,-118.9721,-6.6,68,40,3.09,1707451208
379,cabo san lucas,22.8909,-109.9124,20.98,64,100,4.13,1707451917
380,betio village,1.358,172.9211,30.02,76,95,6.88,1707451917
381,mossel bay,-34.1831,22.146,18.35,78,42,2.84,1707451780
382,arraias,-12.9288,-46.9437,21.46,91,100,0.08,1707451772
383,san julian,21.0167,-102.1667,14.27,24,2,2.39,1707451918
384,reggane,26.7158,0.1714,14.94,19,0,1.63,1707451918
385,zungeru,9.8128,6.1558,22.18,18,26,2.38,1707451918
386,palangkaraya,-2.2,113.8333,34.33,50,40,0.92,1707451919
387,sonoita,31.85,-112.8333,9.84,73,2,1.47,1707451919
388,kingsford,-33.924,151.2275,27.21,64,75,8.75,1707451919
389,verkhnevilyuysk,63.4453,120.3167,-29.38,96,99,1.19,1707451491
390,walvis bay,-22.9575,14.5053,17.53,94,17,2.57,1707451524
391,pemba,-12.974,40.5178,25.45,90,100,3.03,1707451919
